timestamp,object_x,object_y,contour_area
2026-09-05-20-29-42.829789,295,238,215732.5
2026-09-05-20-29-42.864116,296,237,214819.0
2026-09-05-20-29-42.896422,296,237,214819.0
2026-09-05-20-29-42.928882,297,236,212783.5
2026-09-05-20-29-42.971184,299,241,217834.0
2026-09-05-20-29-42.988471,299,241,217834.0
2026-09-05-20-29-43.038482,299,242,217093.0
2026-09-05-20-29-43.064743,299,242,217093.0
2026-09-05-20-29-43.097490,299,242,215753.5
2026-09-05-20-29-43.132234,299,242,215753.5
2026-09-05-20-29-43.164693,299,242,216094.0
2026-09-05-20-29-43.214685,299,242,216563.0
2026-09-05-20-29-43.240589,299,242,216563.0
2026-09-05-20-29-43.281331,299,243,216769.0
2026-09-05-20-29-43.309120,299,243,216769.0
2026-09-05-20-29-43.343624,299,243,217587.5
2026-09-05-20-29-43.376030,299,243,217587.5
2026-09-05-20-29-43.414660,299,244,219506.0
2026-09-05-20-29-43.447989,299,244,219506.0
2026-09-05-20-29-43.480579,300,245,219856.0
2026-09-05-20-29-43.511209,300,245,219856.0
2026-09-05-20-29-43.546972,300,245,220048.5
2026-09-05-20-29-43.581305,299,245,219636.5
2026-09-05-20-29-43.614634,299,245,219636.5
2026-09-05-20-29-43.651068,299,245,219802.0
2026-09-05-20-29-43.681266,299,245,219802.0
2026-09-05-20-29-43.716820,299,245,219758.0
2026-09-05-20-29-43.747950,299,245,219758.0
2026-09-05-20-29-43.788294,299,245,219629.5
2026-09-05-20-29-43.816608,299,245,219629.5
2026-09-05-20-29-43.855133,298,245,219768.5
2026-09-05-20-29-43.888294,298,245,219768.5
2026-09-05-20-29-43.919685,211,215,158990.5
2026-09-05-20-29-43.950691,211,215,158990.5
2026-09-05-20-29-43.997415,212,216,159972.5
2026-09-05-20-29-44.022859,213,216,160416.0
2026-09-05-20-29-44.061290,213,216,160416.0
2026-09-05-20-29-44.092171,213,217,160358.0
2026-09-05-20-29-44.124433,213,217,160358.0
2026-09-05-20-29-44.164562,215,217,161131.5
2026-09-05-20-29-44.191325,215,217,161131.5
2026-09-05-20-29-44.233152,217,219,162093.5
2026-09-05-20-29-44.264549,219,222,163031.5
2026-09-05-20-29-44.296358,219,222,163031.5
2026-09-05-20-29-44.327550,223,224,165461.5
2026-09-05-20-29-44.364536,223,224,165461.5
2026-09-05-20-29-44.398423,229,226,169325.0
2026-09-05-20-29-44.431168,229,226,169325.0
2026-09-05-20-29-44.466232,236,228,173985.5
2026-09-05-20-29-44.496714,245,229,179244.5
2026-09-05-20-29-44.534905,245,229,179244.5
2026-09-05-20-29-44.568093,253,232,183945.0
2026-09-05-20-29-44.601552,253,232,183945.0
2026-09-05-20-29-44.632972,263,234,189487.0
2026-09-05-20-29-44.664757,263,234,189487.0
2026-09-05-20-29-44.703876,275,237,195207.0
2026-09-05-20-29-44.736881,275,237,195207.0
2026-09-05-20-29-44.771419,288,240,201189.5
2026-09-05-20-29-44.804347,299,243,206048.0
2026-09-05-20-29-44.837590,299,243,206048.0
2026-09-05-20-29-44.873091,303,243,204417.5
2026-09-05-20-29-44.904311,303,243,204417.5
2026-09-05-20-29-44.938452,303,242,199743.5
2026-09-05-20-29-44.973465,303,242,199743.5
2026-09-05-20-29-45.005712,303,239,194022.0
2026-09-05-20-29-45.031087,303,239,194022.0
2026-09-05-20-29-45.074750,302,238,190068.5
2026-09-05-20-29-45.112067,302,238,190068.5
2026-09-05-20-29-45.139527,340,208,154940.0
2026-09-05-20-29-45.179892,340,208,154940.0
2026-09-05-20-29-45.205493,197,103,81818.0
2026-09-05-20-29-45.244311,342,210,154459.0
2026-09-05-20-29-45.277989,342,210,154459.0
2026-09-05-20-29-45.311808,343,212,155422.5
2026-09-05-20-29-45.343804,343,212,155422.5
2026-09-05-20-29-45.381070,344,212,156000.5
2026-09-05-20-29-45.432790,345,211,154717.0
2026-09-05-20-29-45.497726,349,207,150571.0
2026-09-05-20-29-45.520084,349,207,150571.0
2026-09-05-20-29-45.565880,356,200,142156.0
2026-09-05-20-29-45.588525,356,200,142156.0
2026-09-05-20-29-45.629671,367,192,132244.5
2026-09-05-20-29-45.663940,367,192,132244.5
2026-09-05-20-29-45.690561,510,271,72776.0
2026-09-05-20-29-45.734482,516,263,70348.0
2026-09-05-20-29-45.756997,516,263,70348.0
2026-09-05-20-29-45.799885,524,260,66918.0
2026-09-05-20-29-45.824849,524,260,66918.0
2026-09-05-20-29-45.855746,533,260,62415.5
2026-09-05-20-29-45.892356,533,260,62415.5
2026-09-05-20-29-45.929766,539,258,59476.5
2026-09-05-20-29-45.975731,540,254,59206.5
2026-09-05-20-29-46.010118,540,254,59206.5
2026-09-05-20-29-46.048207,541,250,58728.5
2026-09-05-20-29-46.063719,541,250,58728.5
2026-09-05-20-29-46.100352,541,244,57940.0
2026-09-05-20-29-46.140895,541,244,57940.0
2026-09-05-20-29-46.177179,542,233,57360.0
2026-09-05-20-29-46.207707,542,233,57360.0
2026-09-05-20-29-46.236985,542,215,57110.5
2026-09-05-20-29-46.271697,542,215,57110.5
2026-09-05-20-29-46.305998,542,191,57406.0
2026-09-05-20-29-46.337940,542,191,57406.0
2026-09-05-20-29-46.372290,542,171,58451.5
2026-09-05-20-29-46.406481,542,159,58848.5
2026-09-05-20-29-46.440707,542,159,58848.5
2026-09-05-20-29-46.477043,541,155,58605.5
2026-09-05-20-29-46.511698,541,155,58605.5
2026-09-05-20-29-46.548252,541,153,58591.0
2026-09-05-20-29-46.576367,541,153,58591.0
2026-09-05-20-29-46.609411,539,152,59158.5
2026-09-05-20-29-46.642461,539,152,59158.5
2026-09-05-20-29-46.680876,538,152,59976.0
2026-09-05-20-29-46.714942,538,152,59976.0
2026-09-05-20-29-46.747541,537,152,60910.5
2026-09-05-20-29-46.779961,536,152,61461.0
2026-09-05-20-29-46.824263,536,152,61461.0
2026-09-05-20-29-46.847517,536,152,61985.0
2026-09-05-20-29-46.883684,536,152,61985.0
2026-09-05-20-29-46.911622,536,152,62009.5
2026-09-05-20-29-46.943620,536,152,62009.5
2026-09-05-20-29-46.983615,534,153,63154.5
2026-09-05-20-29-47.021868,534,154,63703.0
2026-09-05-20-29-47.053519,534,154,63703.0
2026-09-05-20-29-47.080822,533,154,64260.5
2026-09-05-20-29-47.117066,533,154,64260.5
2026-09-05-20-29-47.151595,532,155,65005.5
2026-09-05-20-29-47.187834,532,155,65005.5
2026-09-05-20-29-47.218844,530,155,66256.5
2026-09-05-20-29-47.254042,527,154,68394.0
2026-09-05-20-29-47.295606,527,154,68394.0
2026-09-05-20-29-47.327526,522,155,71931.0
2026-09-05-20-29-47.359571,522,155,71931.0
2026-09-05-20-29-47.391568,516,156,75927.0
2026-09-05-20-29-47.421847,516,156,75927.0
2026-09-05-20-29-47.456430,509,156,79586.5
2026-09-05-20-29-47.489815,509,156,79586.5
2026-09-05-20-29-47.526277,503,156,83036.5
2026-09-05-20-29-47.559737,503,156,83036.5
2026-09-05-20-29-47.592979,498,156,86031.5
2026-09-05-20-29-47.627878,494,157,89020.5
2026-09-05-20-29-47.659792,494,157,89020.5
2026-09-05-20-29-47.696284,490,159,91536.0
2026-09-05-20-29-47.727235,490,159,91536.0
2026-09-05-20-29-47.763926,487,162,94096.0
2026-09-05-20-29-47.793566,487,162,94096.0
2026-09-05-20-29-47.828764,485,163,95477.5
2026-09-05-20-29-47.863955,485,163,95477.5
2026-09-05-20-29-47.900678,484,165,95993.0
2026-09-05-20-29-47.931274,484,165,95993.0
2026-09-05-20-29-47.964067,485,165,95018.0
2026-09-05-20-29-47.997584,489,163,92359.0
2026-09-05-20-29-48.032668,489,163,92359.0
2026-09-05-20-29-48.067517,495,164,89290.5
2026-09-05-20-29-48.100358,495,164,89290.5
2026-09-05-20-29-48.133469,502,163,84799.5
2026-09-05-20-29-48.169257,502,163,84799.5
2026-09-05-20-29-48.201153,511,162,79643.5
2026-09-05-20-29-48.237725,511,162,79643.5
2026-09-05-20-29-48.271469,521,162,73491.5
2026-09-05-20-29-48.305409,532,162,66992.5
2026-09-05-20-29-48.337678,532,162,66992.5
2026-09-05-20-29-48.377409,542,162,60268.0
2026-09-05-20-29-48.403013,542,162,60268.0
2026-09-05-20-29-48.437669,551,163,53919.0
2026-09-05-20-29-48.475863,551,163,53919.0
2026-09-05-20-29-48.505719,208,250,48601.5
2026-09-05-20-29-48.539665,215,244,53060.0
2026-09-05-20-29-48.573878,215,244,53060.0
2026-09-05-20-29-48.611177,217,231,53911.0
2026-09-05-20-29-48.645014,217,231,53911.0
2026-09-05-20-29-48.671422,225,235,59398.0
2026-09-05-20-29-48.715306,225,235,59398.0
2026-09-05-20-29-48.747505,225,225,59199.0
2026-09-05-20-29-48.773400,225,225,59199.0
2026-09-05-20-29-48.807639,229,223,61264.5
2026-09-05-20-29-48.847911,232,221,62874.5
2026-09-05-20-29-48.880592,232,221,62874.5
2026-09-05-20-29-48.913915,234,219,64112.5
2026-09-05-20-29-48.950071,234,219,64112.5
2026-09-05-20-29-48.980603,239,225,67742.0
2026-09-05-20-29-49.017813,239,225,67742.0
2026-09-05-20-29-49.047240,342,209,97504.0
2026-09-05-20-29-49.113921,343,209,97411.0
2026-09-05-20-29-49.167365,343,209,97046.5
2026-09-05-20-29-49.197240,343,209,97046.5
2026-09-05-20-29-49.229240,344,210,96897.0
2026-09-05-20-29-49.263379,344,210,96897.0
2026-09-05-20-29-49.294780,239,224,67086.0
2026-09-05-20-29-49.327345,239,224,67086.0
2026-09-05-20-29-49.359346,238,225,66524.5
2026-09-05-20-29-49.394738,238,225,66524.5
2026-09-05-20-29-49.422651,236,227,65388.5
2026-09-05-20-29-49.463848,236,227,65388.5
2026-09-05-20-29-49.497939,234,228,63800.0
2026-09-05-20-29-49.530502,231,231,62113.5
2026-09-05-20-29-49.562303,231,231,62113.5
2026-09-05-20-29-49.598755,228,234,60203.0
2026-09-05-20-29-49.630710,228,234,60203.0
2026-09-05-20-29-49.663325,226,236,58320.0
2026-09-05-20-29-49.695304,226,236,58320.0
2026-09-05-20-29-49.737504,223,238,56556.5
2026-09-05-20-29-49.770408,220,240,55018.0
2026-09-05-20-29-49.800904,220,240,55018.0
2026-09-05-20-29-49.832474,218,242,53498.0
2026-09-05-20-29-49.866538,218,242,53498.0
2026-09-05-20-29-49.899985,216,244,52207.5
2026-09-05-20-29-49.933826,216,244,52207.5
2026-09-05-20-29-49.967157,214,246,51220.5
2026-09-05-20-29-50.009930,558,167,51240.5
2026-09-05-20-29-50.036535,558,167,51240.5
2026-09-05-20-29-50.071269,556,167,52006.0
2026-09-05-20-29-50.103641,556,167,52006.0
2026-09-05-20-29-50.135702,555,167,52813.5
2026-09-05-20-29-50.175275,555,167,52813.5
2026-09-05-20-29-50.200838,554,168,53216.5
2026-09-05-20-29-50.246946,554,168,53216.5
2026-09-05-20-29-50.271236,554,168,53028.0
2026-09-05-20-29-50.305576,554,168,53028.0
2026-09-05-20-29-50.347284,554,170,52827.5
2026-09-05-20-29-50.379038,554,177,52312.5
2026-09-05-20-29-50.404889,554,177,52312.5
2026-09-05-20-29-50.439807,555,181,50860.5
2026-09-05-20-29-50.477367,555,181,50860.5
2026-09-05-20-29-50.508107,556,181,49058.5
2026-09-05-20-29-50.546056,556,181,49058.5
2026-09-05-20-29-50.577793,203,270,47218.5
2026-09-05-20-29-50.610999,203,270,47218.5
2026-09-05-20-29-50.646837,559,182,45440.0
2026-09-05-20-29-50.679310,559,182,45440.0
2026-09-05-20-29-50.712027,560,183,43933.5
2026-09-05-20-29-50.748713,560,182,43045.0
2026-09-05-20-29-50.785889,560,182,43045.0
2026-09-05-20-29-50.814961,561,182,42466.0
2026-09-05-20-29-50.861170,561,182,42466.0
2026-09-05-20-29-50.884906,561,180,43103.0
2026-09-05-20-29-50.911163,561,180,43103.0
2026-09-05-20-29-50.943160,559,188,44850.5
2026-09-05-20-29-50.988594,559,188,44850.5
2026-09-05-20-29-51.012396,558,193,45159.0
2026-09-05-20-29-51.048969,558,191,44374.0
2026-09-05-20-29-51.083096,558,191,44374.0
2026-09-05-20-29-51.117397,559,187,43876.5
2026-09-05-20-29-51.150362,559,187,43876.5
2026-09-05-20-29-51.183229,559,185,43939.0
2026-09-05-20-29-51.216487,559,185,43939.0
2026-09-05-20-29-51.252072,559,184,44706.0
2026-09-05-20-29-51.285310,557,185,45727.5
2026-09-05-20-29-51.318534,557,185,45727.5
2026-09-05-20-29-51.351381,556,186,46775.0
2026-09-05-20-29-51.387562,556,186,46775.0
